1	2	3	4	5	6	7	8	9	10
1	17	13	0	1	1	0	0	1	30
1	1	19	0	0	0	0	0	0	30
1	9	65	1	1	0	0	0	1	31
1	6	29	1	1	0	0	0	0	32
1	10	15	1	1	0	0	0	0	32
1	1	22	2	0	0	0	1	0	32
1	9	27	2	0	0	0	0	0	33
1	16	46	0	1	1	0	0	0	34
1	8	36	0	1	0	0	0	1	34
1	3	27	0	1	0	0	0	3	35
1	9	19	0	1	1	0	0	0	36
1	3	27	1	0	0	0	0	2	37
1	12	51	2	0	1	1	0	1	38
1	6	15	2	0	0	0	0	3	39
1	12	67	0	1	0	0	0	0	40
1	0	12	2	1	1	0	0	0	40
1	14	7	0	1	0	0	0	2	40
1	0	11	2	0	0	0	0	2	41
1	9	6	2	1	0	0	0	0	41
1	3	46	1	0	0	1	0	0	41
1	7	36	0	1	0	1	0	3	41
