(12, 32) (0, 1) (0, 30) 
(10, 31) (0, 1) (3, 29) 
(10, 31) (0, 1) (3, 30) 
(10, 31) (0, 1) (2, 28) 
(10, 31) (0, 1) (2, 29) 
(10, 31) (0, 1) (2, 30) 
(10, 31) (0, 1) (1, 28) 
(10, 31) (0, 1) (1, 29) 
(10, 31) (0, 1) (1, 30) 
(10, 31) (0, 1) (0, 27) 
(10, 31) (0, 1) (0, 28) 
(10, 31) (0, 1) (0, 29) 
(10, 31) (0, 1) (0, 30) 
(10, 32) (0, 1) (5, 30) 
(10, 32) (0, 1) (4, 30) 
(10, 32) (0, 1) (3, 28) 
(10, 32) (0, 1) (3, 29) 
(10, 32) (0, 1) (3, 30) 
(10, 32) (0, 1) (2, 28) 
(10, 32) (0, 1) (2, 29) 
(10, 32) (0, 1) (2, 30) 
(10, 32) (0, 1) (1, 27) 
(10, 32) (0, 1) (1, 28) 
(10, 32) (0, 1) (1, 29) 
(10, 32) (0, 1) (1, 30) 
(10, 32) (0, 1) (0, 26) 
(10, 32) (0, 1) (0, 27) 
(10, 32) (0, 1) (0, 28) 
(10, 32) (0, 1) (0, 29) 
(10, 32) (0, 1) (0, 30) 
(10, 33) (0, 1) (6, 30) 
(10, 33) (0, 1) (5, 30) 
(10, 33) (0, 1) (4, 29) 
(10, 33) (0, 1) (4, 30) 
(10, 33) (0, 1) (3, 28) 
(10, 33) (0, 1) (3, 29) 
(10, 33) (0, 1) (3, 30) 
(10, 33) (0, 1) (2, 27) 
(10, 33) (0, 1) (2, 28) 
(10, 33) (0, 1) (2, 29) 
(10, 33) (0, 1) (2, 30) 
(10, 33) (0, 1) (1, 26) 
(10, 33) (0, 1) (1, 27) 
(10, 33) (0, 1) (1, 28) 
(10, 33) (0, 1) (1, 29) 
(10, 33) (0, 1) (1, 30) 
(10, 33) (0, 1) (0, 26) 
(10, 33) (0, 1) (0, 27) 
(10, 33) (0, 1) (0, 28) 
(10, 33) (0, 1) (0, 29) 
(10, 33) (0, 1) (0, 30) 
(9, 26) (0, 1) (0, 30) 
(9, 27) (0, 1) (3, 30) 
(9, 27) (0, 1) (2, 30) 
(9, 27) (0, 1) (1, 29) 
(9, 27) (0, 1) (1, 30) 
(9, 27) (0, 1) (0, 28) 
(9, 27) (0, 1) (0, 29) 
(9, 27) (0, 1) (0, 30) 
(9, 28) (0, 1) (4, 30) 
(9, 28) (0, 1) (3, 29) 
(9, 28) (0, 1) (3, 30) 
(9, 28) (0, 1) (2, 28) 
(9, 28) (0, 1) (2, 29) 
(9, 28) (0, 1) (2, 30) 
(9, 28) (0, 1) (1, 28) 
(9, 28) (0, 1) (1, 29) 
(9, 28) (0, 1) (1, 30) 
(9, 28) (0, 1) (0, 26) 
(9, 28) (0, 1) (0, 27) 
(9, 28) (0, 1) (0, 28) 
(9, 28) (0, 1) (0, 29) 
(9, 28) (0, 1) (0, 30) 
(9, 29) (0, 1) (6, 30) 
(9, 29) (0, 1) (5, 30) 
(9, 29) (0, 1) (4, 29) 
(9, 29) (0, 1) (4, 30) 
(9, 29) (0, 1) (3, 28) 
(9, 29) (0, 1) (3, 29) 
(9, 29) (0, 1) (3, 30) 
(9, 29) (0, 1) (2, 27) 
(9, 29) (0, 1) (2, 28) 
(9, 29) (0, 1) (2, 29) 
(9, 29) (0, 1) (2, 30) 
(9, 29) (0, 1) (1, 26) 
(9, 29) (0, 1) (1, 27) 
(9, 29) (0, 1) (1, 28) 
(9, 29) (0, 1) (1, 29) 
(9, 29) (0, 1) (1, 30) 
(9, 29) (0, 1) (0, 26) 
(9, 29) (0, 1) (0, 27) 
(9, 29) (0, 1) (0, 28) 
(9, 29) (0, 1) (0, 29) 
(9, 29) (0, 1) (0, 30) 
(9, 30) (0, 1) (6, 30) 
(9, 30) (0, 1) (5, 29) 
(9, 30) (0, 1) (5, 30) 
(9, 30) (0, 1) (4, 28) 
(9, 30) (0, 1) (4, 29) 
(9, 30) (0, 1) (4, 30) 
(9, 30) (0, 1) (3, 27) 
(9, 30) (0, 1) (3, 28) 
(9, 30) (0, 1) (3, 29) 
(9, 30) (0, 1) (3, 30) 
(9, 30) (0, 1) (2, 26) 
(9, 30) (0, 1) (2, 27) 
(9, 30) (0, 1) (2, 28) 
(9, 30) (0, 1) (2, 29) 
(9, 30) (0, 1) (2, 30) 
(9, 30) (0, 1) (1, 26) 
(9, 30) (0, 1) (1, 27) 
(9, 30) (0, 1) (1, 28) 
(9, 30) (0, 1) (1, 29) 
(9, 30) (0, 1) (1, 30) 
(9, 30) (0, 1) (0, 26) 
(9, 30) (0, 1) (0, 27) 
(9, 30) (0, 1) (0, 28) 
(9, 30) (0, 1) (0, 29) 
(9, 30) (0, 1) (0, 30) 
(9, 31) (0, 1) (6, 29) 
(9, 31) (0, 1) (6, 30) 
(9, 31) (0, 1) (5, 28) 
(9, 31) (0, 1) (5, 29) 
(9, 31) (0, 1) (5, 30) 
(9, 31) (0, 1) (4, 28) 
(9, 31) (0, 1) (4, 29) 
(9, 31) (0, 1) (4, 30) 
(9, 31) (0, 1) (3, 26) 
(9, 31) (0, 1) (3, 27) 
(9, 31) (0, 1) (3, 28) 
(9, 31) (0, 1) (3, 29) 
(9, 31) (0, 1) (3, 30) 
(9, 31) (0, 1) (2, 26) 
(9, 31) (0, 1) (2, 27) 
(9, 31) (0, 1) (2, 28) 
(9, 31) (0, 1) (2, 29) 
(9, 31) (0, 1) (2, 30) 
(9, 31) (0, 1) (1, 26) 
(9, 31) (0, 1) (1, 27) 
(9, 31) (0, 1) (1, 28) 
(9, 31) (0, 1) (1, 29) 
(9, 31) (0, 1) (1, 30) 
(9, 31) (0, 1) (0, 25) 
(9, 31) (0, 1) (0, 26) 
(9, 31) (0, 1) (0, 27) 
(9, 31) (0, 1) (0, 28) 
(9, 31) (0, 1) (0, 29) 
(9, 31) (0, 1) (0, 30) 
(9, 32) (0, 1) (6, 28) 
(9, 32) (0, 1) (6, 29) 
(9, 32) (0, 1) (6, 30) 
(9, 32) (0, 1) (5, 28) 
(9, 32) (0, 1) (5, 29) 
(9, 32) (0, 1) (5, 30) 
(9, 32) (0, 1) (4, 27) 
(9, 32) (0, 1) (4, 28) 
(9, 32) (0, 1) (4, 29) 
(9, 32) (0, 1) (4, 30) 
(9, 32) (0, 1) (3, 26) 
(9, 32) (0, 1) (3, 27) 
(9, 32) (0, 1) (3, 28) 
(9, 32) (0, 1) (3, 29) 
(9, 32) (0, 1) (3, 30) 
(9, 32) (0, 1) (2, 26) 
(9, 32) (0, 1) (2, 27) 
(9, 32) (0, 1) (2, 28) 
(9, 32) (0, 1) (2, 29) 
(9, 32) (0, 1) (2, 30) 
(9, 32) (0, 1) (1, 26) 
(9, 32) (0, 1) (1, 27) 
(9, 32) (0, 1) (1, 28) 
(9, 32) (0, 1) (1, 29) 
(9, 32) (0, 1) (1, 30) 
(9, 32) (0, 1) (0, 25) 
(9, 32) (0, 1) (0, 26) 
(9, 32) (0, 1) (0, 27) 
(9, 32) (0, 1) (0, 28) 
(9, 32) (0, 1) (0, 29) 
(9, 32) (0, 1) (0, 30) 
(9, 33) (0, 1) (6, 28) 
(9, 33) (0, 1) (6, 29) 
(9, 33) (0, 1) (6, 30) 
(9, 33) (0, 1) (5, 27) 
(9, 33) (0, 1) (5, 28) 
(9, 33) (0, 1) (5, 29) 
(9, 33) (0, 1) (5, 30) 
(9, 33) (0, 1) (4, 26) 
(9, 33) (0, 1) (4, 27) 
(9, 33) (0, 1) (4, 28) 
(9, 33) (0, 1) (4, 29) 
(9, 33) (0, 1) (4, 30) 
(9, 33) (0, 1) (3, 26) 
(9, 33) (0, 1) (3, 27) 
(9, 33) (0, 1) (3, 28) 
(9, 33) (0, 1) (3, 29) 
(9, 33) (0, 1) (3, 30) 
(9, 33) (0, 1) (2, 26) 
(9, 33) (0, 1) (2, 27) 
(9, 33) (0, 1) (2, 28) 
(9, 33) (0, 1) (2, 29) 
(9, 33) (0, 1) (2, 30) 
(9, 33) (0, 1) (1, 25) 
(9, 33) (0, 1) (1, 26) 
(9, 33) (0, 1) (1, 27) 
(9, 33) (0, 1) (1, 28) 
(9, 33) (0, 1) (1, 29) 
(9, 33) (0, 1) (1, 30) 
(9, 33) (0, 1) (0, 25) 
(9, 33) (0, 1) (0, 26) 
(9, 33) (0, 1) (0, 27) 
(9, 33) (0, 1) (0, 28) 
(9, 33) (0, 1) (0, 29) 
(9, 33) (0, 1) (0, 30) 
(8, 26) (0, 1) (1, 30) 
(8, 26) (0, 1) (0, 29) 
(8, 26) (0, 1) (0, 30) 
(8, 27) (0, 1) (3, 30) 
(8, 27) (0, 1) (2, 29) 
(8, 27) (0, 1) (2, 30) 
(8, 27) (0, 1) (1, 28) 
(8, 27) (0, 1) (1, 29) 
(8, 27) (0, 1) (1, 30) 
(8, 27) (0, 1) (0, 27) 
(8, 27) (0, 1) (0, 28) 
(8, 27) (0, 1) (0, 29) 
(8, 27) (0, 1) (0, 30) 
(8, 28) (0, 1) (5, 30) 
(8, 28) (0, 1) (4, 30) 
(8, 28) (0, 1) (3, 28) 
(8, 28) (0, 1) (3, 29) 
(8, 28) (0, 1) (3, 30) 
(8, 28) (0, 1) (2, 28) 
(8, 28) (0, 1) (2, 29) 
(8, 28) (0, 1) (2, 30) 
(8, 28) (0, 1) (1, 27) 
(8, 28) (0, 1) (1, 28) 
(8, 28) (0, 1) (1, 29) 
(8, 28) (0, 1) (1, 30) 
(8, 28) (0, 1) (0, 26) 
(8, 28) (0, 1) (0, 27) 
(8, 28) (0, 1) (0, 28) 
(8, 28) (0, 1) (0, 29) 
(8, 28) (0, 1) (0, 30) 
(8, 29) (0, 1) (6, 30) 
(8, 29) (0, 1) (5, 29) 
(8, 29) (0, 1) (5, 30) 
(8, 29) (0, 1) (4, 28) 
(8, 29) (0, 1) (4, 29) 
(8, 29) (0, 1) (4, 30) 
(8, 29) (0, 1) (3, 27) 
(8, 29) (0, 1) (3, 28) 
(8, 29) (0, 1) (3, 29) 
(8, 29) (0, 1) (3, 30) 
(8, 29) (0, 1) (2, 26) 
(8, 29) (0, 1) (2, 27) 
(8, 29) (0, 1) (2, 28) 
(8, 29) (0, 1) (2, 29) 
(8, 29) (0, 1) (2, 30) 
(8, 29) (0, 1) (1, 26) 
(8, 29) (0, 1) (1, 27) 
(8, 29) (0, 1) (1, 28) 
(8, 29) (0, 1) (1, 29) 
(8, 29) (0, 1) (1, 30) 
(8, 29) (0, 1) (0, 26) 
(8, 29) (0, 1) (0, 27) 
(8, 29) (0, 1) (0, 28) 
(8, 29) (0, 1) (0, 29) 
(8, 29) (0, 1) (0, 30) 
(8, 30) (0, 1) (6, 29) 
(8, 30) (0, 1) (6, 30) 
(8, 30) (0, 1) (5, 28) 
(8, 30) (0, 1) (5, 29) 
(8, 30) (0, 1) (5, 30) 
(8, 30) (0, 1) (4, 28) 
(8, 30) (0, 1) (4, 29) 
(8, 30) (0, 1) (4, 30) 
(8, 30) (0, 1) (3, 26) 
(8, 30) (0, 1) (3, 27) 
(8, 30) (0, 1) (3, 28) 
(8, 30) (0, 1) (3, 29) 
(8, 30) (0, 1) (3, 30) 
(8, 30) (0, 1) (2, 26) 
(8, 30) (0, 1) (2, 27) 
(8, 30) (0, 1) (2, 28) 
(8, 30) (0, 1) (2, 29) 
(8, 30) (0, 1) (2, 30) 
(8, 30) (0, 1) (1, 26) 
(8, 30) (0, 1) (1, 27) 
(8, 30) (0, 1) (1, 28) 
(8, 30) (0, 1) (1, 29) 
(8, 30) (0, 1) (1, 30) 
(8, 30) (0, 1) (0, 25) 
(8, 30) (0, 1) (0, 26) 
(8, 30) (0, 1) (0, 27) 
(8, 30) (0, 1) (0, 28) 
(8, 30) (0, 1) (0, 29) 
(8, 30) (0, 1) (0, 30) 
(8, 31) (0, 1) (6, 28) 
(8, 31) (0, 1) (6, 29) 
(8, 31) (0, 1) (6, 30) 
(8, 31) (0, 1) (5, 28) 
(8, 31) (0, 1) (5, 29) 
(8, 31) (0, 1) (5, 30) 
(8, 31) (0, 1) (4, 27) 
(8, 31) (0, 1) (4, 28) 
(8, 31) (0, 1) (4, 29) 
(8, 31) (0, 1) (4, 30) 
(8, 31) (0, 1) (3, 26) 
(8, 31) (0, 1) (3, 27) 
(8, 31) (0, 1) (3, 28) 
(8, 31) (0, 1) (3, 29) 
(8, 31) (0, 1) (3, 30) 
(8, 31) (0, 1) (2, 26) 
(8, 31) (0, 1) (2, 27) 
(8, 31) (0, 1) (2, 28) 
(8, 31) (0, 1) (2, 29) 
(8, 31) (0, 1) (2, 30) 
(8, 31) (0, 1) (1, 26) 
(8, 31) (0, 1) (1, 27) 
(8, 31) (0, 1) (1, 28) 
(8, 31) (0, 1) (1, 29) 
(8, 31) (0, 1) (1, 30) 
(8, 31) (0, 1) (0, 25) 
(8, 31) (0, 1) (0, 26) 
(8, 31) (0, 1) (0, 27) 
(8, 31) (0, 1) (0, 28) 
(8, 31) (0, 1) (0, 29) 
(8, 31) (0, 1) (0, 30) 
(8, 32) (0, 1) (6, 28) 
(8, 32) (0, 1) (6, 29) 
(8, 32) (0, 1) (6, 30) 
(8, 32) (0, 1) (5, 27) 
(8, 32) (0, 1) (5, 28) 
(8, 32) (0, 1) (5, 29) 
(8, 32) (0, 1) (5, 30) 
(8, 32) (0, 1) (4, 26) 
(8, 32) (0, 1) (4, 27) 
(8, 32) (0, 1) (4, 28) 
(8, 32) (0, 1) (4, 29) 
(8, 32) (0, 1) (4, 30) 
(8, 32) (0, 1) (3, 26) 
(8, 32) (0, 1) (3, 27) 
(8, 32) (0, 1) (3, 28) 
(8, 32) (0, 1) (3, 29) 
(8, 32) (0, 1) (3, 30) 
(8, 32) (0, 1) (2, 26) 
(8, 32) (0, 1) (2, 27) 
(8, 32) (0, 1) (2, 28) 
(8, 32) (0, 1) (2, 29) 
(8, 32) (0, 1) (2, 30) 
(8, 32) (0, 1) (1, 25) 
(8, 32) (0, 1) (1, 26) 
(8, 32) (0, 1) (1, 27) 
(8, 32) (0, 1) (1, 28) 
(8, 32) (0, 1) (1, 29) 
(8, 32) (0, 1) (1, 30) 
(8, 32) (0, 1) (0, 25) 
(8, 32) (0, 1) (0, 26) 
(8, 32) (0, 1) (0, 27) 
(8, 32) (0, 1) (0, 28) 
(8, 32) (0, 1) (0, 29) 
(8, 32) (0, 1) (0, 30) 
(8, 33) (0, 1) (7, 30) 
(8, 33) (0, 1) (6, 27) 
(8, 33) (0, 1) (6, 28) 
(8, 33) (0, 1) (6, 29) 
(8, 33) (0, 1) (6, 30) 
(8, 33) (0, 1) (5, 26) 
(8, 33) (0, 1) (5, 27) 
(8, 33) (0, 1) (5, 28) 
(8, 33) (0, 1) (5, 29) 
(8, 33) (0, 1) (5, 30) 
(8, 33) (0, 1) (4, 26) 
(8, 33) (0, 1) (4, 27) 
(8, 33) (0, 1) (4, 28) 
(8, 33) (0, 1) (4, 29) 
(8, 33) (0, 1) (4, 30) 
(8, 33) (0, 1) (3, 26) 
(8, 33) (0, 1) (3, 27) 
(8, 33) (0, 1) (3, 28) 
(8, 33) (0, 1) (3, 29) 
(8, 33) (0, 1) (3, 30) 
(8, 33) (0, 1) (2, 25) 
(8, 33) (0, 1) (2, 26) 
(8, 33) (0, 1) (2, 27) 
(8, 33) (0, 1) (2, 28) 
(8, 33) (0, 1) (2, 29) 
(8, 33) (0, 1) (2, 30) 
(8, 33) (0, 1) (1, 25) 
(8, 33) (0, 1) (1, 26) 
(8, 33) (0, 1) (1, 27) 
(8, 33) (0, 1) (1, 28) 
(8, 33) (0, 1) (1, 29) 
(8, 33) (0, 1) (1, 30) 
(8, 33) (0, 1) (0, 25) 
(8, 33) (0, 1) (0, 26) 
(8, 33) (0, 1) (0, 27) 
(8, 33) (0, 1) (0, 28) 
(8, 33) (0, 1) (0, 29) 
(8, 33) (0, 1) (0, 30) 
(7, 25) (0, 1) (1, 30) 
(7, 25) (0, 1) (0, 29) 
(7, 25) (0, 1) (0, 30) 
(7, 26) (0, 1) (3, 30) 
(7, 26) (0, 1) (2, 29) 
(7, 26) (0, 1) (2, 30) 
(7, 26) (0, 1) (1, 28) 
(7, 26) (0, 1) (1, 29) 
(7, 26) (0, 1) (1, 30) 
(7, 26) (0, 1) (0, 27) 
(7, 26) (0, 1) (0, 28) 
(7, 26) (0, 1) (0, 29) 
(7, 26) (0, 1) (0, 30) 
(7, 27) (0, 1) (6, 30) 
(7, 27) (0, 1) (4, 29) 
(7, 27) (0, 1) (4, 30) 
(7, 27) (0, 1) (3, 28) 
(7, 27) (0, 1) (3, 29) 
(7, 27) (0, 1) (3, 30) 
(7, 27) (0, 1) (2, 27) 
(7, 27) (0, 1) (2, 28) 
(7, 27) (0, 1) (2, 29) 
(7, 27) (0, 1) (2, 30) 
(7, 27) (0, 1) (1, 26) 
(7, 27) (0, 1) (1, 27) 
(7, 27) (0, 1) (1, 28) 
(7, 27) (0, 1) (1, 29) 
(7, 27) (0, 1) (1, 30) 
(7, 27) (0, 1) (0, 26) 
(7, 27) (0, 1) (0, 27) 
(7, 27) (0, 1) (0, 28) 
(7, 27) (0, 1) (0, 29) 
(7, 27) (0, 1) (0, 30) 
(7, 28) (0, 1) (6, 29) 
(7, 28) (0, 1) (6, 30) 
(7, 28) (0, 1) (5, 28) 
(7, 28) (0, 1) (5, 29) 
(7, 28) (0, 1) (5, 30) 
(7, 28) (0, 1) (4, 28) 
(7, 28) (0, 1) (4, 29) 
(7, 28) (0, 1) (4, 30) 
(7, 28) (0, 1) (3, 26) 
(7, 28) (0, 1) (3, 27) 
(7, 28) (0, 1) (3, 28) 
(7, 28) (0, 1) (3, 29) 
(7, 28) (0, 1) (3, 30) 
(7, 28) (0, 1) (2, 26) 
(7, 28) (0, 1) (2, 27) 
(7, 28) (0, 1) (2, 28) 
(7, 28) (0, 1) (2, 29) 
(7, 28) (0, 1) (2, 30) 
(7, 28) (0, 1) (1, 26) 
(7, 28) (0, 1) (1, 27) 
(7, 28) (0, 1) (1, 28) 
(7, 28) (0, 1) (1, 29) 
(7, 28) (0, 1) (1, 30) 
(7, 28) (0, 1) (0, 25) 
(7, 28) (0, 1) (0, 26) 
(7, 28) (0, 1) (0, 27) 
(7, 28) (0, 1) (0, 28) 
(7, 28) (0, 1) (0, 29) 
(7, 28) (0, 1) (0, 30) 
(7, 29) (0, 1) (6, 28) 
(7, 29) (0, 1) (6, 29) 
(7, 29) (0, 1) (6, 30) 
(7, 29) (0, 1) (5, 27) 
(7, 29) (0, 1) (5, 28) 
(7, 29) (0, 1) (5, 29) 
(7, 29) (0, 1) (5, 30) 
(7, 29) (0, 1) (4, 26) 
(7, 29) (0, 1) (4, 27) 
(7, 29) (0, 1) (4, 28) 
(7, 29) (0, 1) (4, 29) 
(7, 29) (0, 1) (4, 30) 
(7, 29) (0, 1) (3, 26) 
(7, 29) (0, 1) (3, 27) 
(7, 29) (0, 1) (3, 28) 
(7, 29) (0, 1) (3, 29) 
(7, 29) (0, 1) (3, 30) 
(7, 29) (0, 1) (2, 26) 
(7, 29) (0, 1) (2, 27) 
(7, 29) (0, 1) (2, 28) 
(7, 29) (0, 1) (2, 29) 
(7, 29) (0, 1) (2, 30) 
(7, 29) (0, 1) (1, 25) 
(7, 29) (0, 1) (1, 26) 
(7, 29) (0, 1) (1, 27) 
(7, 29) (0, 1) (1, 28) 
(7, 29) (0, 1) (1, 29) 
(7, 29) (0, 1) (1, 30) 
(7, 29) (0, 1) (0, 25) 
(7, 29) (0, 1) (0, 26) 
(7, 29) (0, 1) (0, 27) 
(7, 29) (0, 1) (0, 28) 
(7, 29) (0, 1) (0, 29) 
(7, 29) (0, 1) (0, 30) 
(7, 30) (0, 1) (6, 27) 
(7, 30) (0, 1) (6, 28) 
(7, 30) (0, 1) (6, 29) 
(7, 30) (0, 1) (6, 30) 
(7, 30) (0, 1) (5, 26) 
(7, 30) (0, 1) (5, 27) 
(7, 30) (0, 1) (5, 28) 
(7, 30) (0, 1) (5, 29) 
(7, 30) (0, 1) (5, 30) 
(7, 30) (0, 1) (4, 26) 
(7, 30) (0, 1) (4, 27) 
(7, 30) (0, 1) (4, 28) 
(7, 30) (0, 1) (4, 29) 
(7, 30) (0, 1) (4, 30) 
(7, 30) (0, 1) (3, 26) 
(7, 30) (0, 1) (3, 27) 
(7, 30) (0, 1) (3, 28) 
(7, 30) (0, 1) (3, 29) 
(7, 30) (0, 1) (3, 30) 
(7, 30) (0, 1) (2, 25) 
(7, 30) (0, 1) (2, 26) 
(7, 30) (0, 1) (2, 27) 
(7, 30) (0, 1) (2, 28) 
(7, 30) (0, 1) (2, 29) 
(7, 30) (0, 1) (2, 30) 
(7, 30) (0, 1) (1, 25) 
(7, 30) (0, 1) (1, 26) 
(7, 30) (0, 1) (1, 27) 
(7, 30) (0, 1) (1, 28) 
(7, 30) (0, 1) (1, 29) 
(7, 30) (0, 1) (1, 30) 
(7, 30) (0, 1) (0, 25) 
(7, 30) (0, 1) (0, 26) 
(7, 30) (0, 1) (0, 27) 
(7, 30) (0, 1) (0, 28) 
(7, 30) (0, 1) (0, 29) 
(7, 30) (0, 1) (0, 30) 
(7, 31) (0, 1) (7, 30) 
(7, 31) (0, 1) (6, 26) 
(7, 31) (0, 1) (6, 27) 
(7, 31) (0, 1) (6, 28) 
(7, 31) (0, 1) (6, 29) 
(7, 31) (0, 1) (6, 30) 
(7, 31) (0, 1) (5, 26) 
(7, 31) (0, 1) (5, 27) 
(7, 31) (0, 1) (5, 28) 
(7, 31) (0, 1) (5, 29) 
(7, 31) (0, 1) (5, 30) 
(7, 31) (0, 1) (4, 26) 
(7, 31) (0, 1) (4, 27) 
(7, 31) (0, 1) (4, 28) 
(7, 31) (0, 1) (4, 29) 
(7, 31) (0, 1) (4, 30) 
(7, 31) (0, 1) (3, 25) 
(7, 31) (0, 1) (3, 26) 
(7, 31) (0, 1) (3, 27) 
(7, 31) (0, 1) (3, 28) 
(7, 31) (0, 1) (3, 29) 
(7, 31) (0, 1) (3, 30) 
(7, 31) (0, 1) (2, 25) 
(7, 31) (0, 1) (2, 26) 
(7, 31) (0, 1) (2, 27) 
(7, 31) (0, 1) (2, 28) 
(7, 31) (0, 1) (2, 29) 
(7, 31) (0, 1) (2, 30) 
(7, 31) (0, 1) (1, 25) 
(7, 31) (0, 1) (1, 26) 
(7, 31) (0, 1) (1, 27) 
(7, 31) (0, 1) (1, 28) 
(7, 31) (0, 1) (1, 29) 
(7, 31) (0, 1) (1, 30) 
(7, 31) (0, 1) (0, 24) 
(7, 31) (0, 1) (0, 25) 
(7, 31) (0, 1) (0, 26) 
(7, 31) (0, 1) (0, 27) 
(7, 31) (0, 1) (0, 28) 
(7, 31) (0, 1) (0, 29) 
(7, 31) (0, 1) (0, 30) 
(7, 32) (0, 1) (7, 30) 
(7, 32) (0, 1) (6, 26) 
(7, 32) (0, 1) (6, 27) 
(7, 32) (0, 1) (6, 28) 
(7, 32) (0, 1) (6, 29) 
(7, 32) (0, 1) (6, 30) 
(7, 32) (0, 1) (5, 26) 
(7, 32) (0, 1) (5, 27) 
(7, 32) (0, 1) (5, 28) 
(7, 32) (0, 1) (5, 29) 
(7, 32) (0, 1) (5, 30) 
(7, 32) (0, 1) (4, 26) 
(7, 32) (0, 1) (4, 27) 
(7, 32) (0, 1) (4, 28) 
(7, 32) (0, 1) (4, 29) 
(7, 32) (0, 1) (4, 30) 
(7, 32) (0, 1) (3, 25) 
(7, 32) (0, 1) (3, 26) 
(7, 32) (0, 1) (3, 27) 
(7, 32) (0, 1) (3, 28) 
(7, 32) (0, 1) (3, 29) 
(7, 32) (0, 1) (3, 30) 
(7, 32) (0, 1) (2, 25) 
(7, 32) (0, 1) (2, 26) 
(7, 32) (0, 1) (2, 27) 
(7, 32) (0, 1) (2, 28) 
(7, 32) (0, 1) (2, 29) 
(7, 32) (0, 1) (2, 30) 
(7, 32) (0, 1) (1, 25) 
(7, 32) (0, 1) (1, 26) 
(7, 32) (0, 1) (1, 27) 
(7, 32) (0, 1) (1, 28) 
(7, 32) (0, 1) (1, 29) 
(7, 32) (0, 1) (1, 30) 
(7, 32) (0, 1) (0, 24) 
(7, 32) (0, 1) (0, 25) 
(7, 32) (0, 1) (0, 26) 
(7, 32) (0, 1) (0, 27) 
(7, 32) (0, 1) (0, 28) 
(7, 32) (0, 1) (0, 29) 
(7, 32) (0, 1) (0, 30) 
(7, 33) (0, 1) (7, 29) 
(7, 33) (0, 1) (7, 30) 
(7, 33) (0, 1) (6, 26) 
(7, 33) (0, 1) (6, 27) 
(7, 33) (0, 1) (6, 28) 
(7, 33) (0, 1) (6, 29) 
(7, 33) (0, 1) (6, 30) 
(7, 33) (0, 1) (5, 26) 
(7, 33) (0, 1) (5, 27) 
(7, 33) (0, 1) (5, 28) 
(7, 33) (0, 1) (5, 29) 
(7, 33) (0, 1) (5, 30) 
(7, 33) (0, 1) (4, 25) 
(7, 33) (0, 1) (4, 26) 
(7, 33) (0, 1) (4, 27) 
(7, 33) (0, 1) (4, 28) 
(7, 33) (0, 1) (4, 29) 
(7, 33) (0, 1) (4, 30) 
(7, 33) (0, 1) (3, 25) 
(7, 33) (0, 1) (3, 26) 
(7, 33) (0, 1) (3, 27) 
(7, 33) (0, 1) (3, 28) 
(7, 33) (0, 1) (3, 29) 
(7, 33) (0, 1) (3, 30) 
(7, 33) (0, 1) (2, 25) 
(7, 33) (0, 1) (2, 26) 
(7, 33) (0, 1) (2, 27) 
(7, 33) (0, 1) (2, 28) 
