0	1	2	3	4	5	6	7	8	
51000000000	27688778130	77000000000	3855000000	732193000	20092000000	3192090000	10375180000	473859000000	
67000000000	29606767260	79000000000	5819000000	1133929133	21903300000	2194280000	4207500000	585307000000	
66000000000	31238589800	82000000000	4181000000	845676933	16224700000	4267105000	3291750000	634602000000	
69000000000	35092701530	101000000000	5646000000	1406606800	83482100000	6796985000	82100000000	263499000000	
60000000000	26349292080	103000000000	5138000000	1305394533	24299800000	2194280000	20253500000	378996000000	
77000000000	35587929240	76000000000	3881000000	727558133	21786300000	8125550000	17261500000	618272000000	
76000000000	29218407600	83000000000	5376000000	1100646400	28562000000	7369960000	8043750000	698789000000	
76000000000	27200000000	94000000000	14070000000	3262364000	35891000000	9346630000	8415600000	377227000000	
75000000000	27300000000	85000000000	5197000000	1089637667	10390000000	9000805000	7576700000	335393000000	
69000000000	32500000000	93000000000	5430000000	1245642000	15145000000	11787960000	11787960000	270142000000	
71000000000	30300000000	102000000000	8340000000	2098344000	56502000000	8130000000	4298900000	200976000000	
66000000000	27700000000	90000000000	6042000000	1341324000	24846000000	7652055000	6705200000	225880000000	
75000000000	25700000000	94000000000	8079000000	1873250800	65926000000	3741220000	4496850000	206802000000	
78000000000	25300000000	60000000000	3508000000	519184000	6633000000	10567295000	4663800000	209749000000	
69000000000	29400000000	89000000000	10704000000	2349884800	45272000000	8286300000	4530000000	215769000000	
85000000000	26600000000	96000000000	4462000000	1056601600	7850000000	7931700000	9613500000	232006000000	
76000000000	27100000000	110000000000	26211000000	7111918000	21778000000	4935635000	8493950000	45843000000	
77000000000	25900000000	85000000000	4580000000	960273333	13740000000	9753260000	11774000000	488829000000	
45000000000	21303948580	102000000000	13852000000	3485163200	7647600000	21056625000	23034080000	552444000000	
45000000000	20829995190	74000000000	4560000000	832352000	7752900000	8237405000	28032300000	382955000000	
49000000000	20956607500	94000000000	12305000000	2853119333	11240600000	8412175000	23117700000	573630000000	
34000000000	24242424240	92000000000	21699000000	4924226400	16735300000	21823745000	12065340000	481949000000	
42000000000	21359914560	93000000000	2999000000	687970600	19082600000	8462915000	17376150000	321919000000	
68000000000	21082813290	102000000000	6200000000	1559920000	9699400000	8574655000	13742440000	448799000000	
51000000000	19132653060	93000000000	4364000000	1001101600	11081600000	5807620000	5570550000	90600000000	
62000000000	22656250000	92000000000	3482000000	790181867	9864800000	11236235000	10695480000	703973000000	
38000000000	22499637100	95000000000	5261000000	1232827667	8438000000	4771920000	15736060000	199055000000	
69000000000	21513858510	112000000000	6683000000	1846290133	32580000000	4138025000	15698760000	713239000000	
49000000000	21367521370	78000000000	2640000000	507936000	6333900000	3886145000	22942540000	737672000000	
51000000000	22892819980	103000000000	2740000000	696142667	8016300000	9349775000	11554920000	359232000000	
59000000000	22832879350	98000000000	6862000000	1658774133	14903700000	4230105000	8204900000	355310000000	
45000000000	23140495870	116000000000	4902000000	1402625600	17997300000	4294705000	5263300000	518586000000	
54000000000	24218750000	86000000000	3730000000	791257333	8687400000	3705230000	10344550000	635049000000	
64000000000	22222222220	98000000000	5700000000	1377880000	12190500000	4783985000	13912450000	395976000000	
46000000000	20830000000	88000000000	3420000000	742368000	12870000000	18550000000	13560000000	301210000000	
44000000000	19560000000	114000000000	15890000000	4468268000	13080000000	20370000000	4620000000	220660000000	
45000000000	20260000000	92000000000	3440000000	780650667	7650000000	16670000000	7840000000	193870000000	
44000000000	24740000000	106000000000	58460000000	15285341330	18160000000	16100000000	5310000000	244750000000	
51000000000	18370000000	105000000000	6030000000	1561770000	9620000000	12760000000	3210000000	513660000000	
72000000000	23620000000	105000000000	4420000000	1144780000	21780000000	17860000000	4820000000	195940000000	
46000000000	22210000000	86000000000	36940000000	7836205333	10160000000	9760000000	5680000000	312000000000	
43000000000	26562500000	101000000000	10555000000	2629602333	9800000000	6420295000	16100000000	806724000000	
55000000000	31975014870	92000000000	16635000000	3775036000	37223400000	11018455000	7165140000	483377000000	
43000000000	31250000000	103000000000	4328000000	1099600533	25781600000	12718960000	38653100000	775322000000	
86000000000	26666666670	201000000000	41611000000	20630733800	47647000000	5357135000	24370100000	1698440000000	
41000000000	26672763300	97000000000	22033000000	5271762467	44705900000	13494865000	27832500000	783796000000	
59000000000	28672626080	77000000000	3188000000	605507467	17022000000	16440480000	31690400000	910489000000	
81000000000	31640368180	100000000000	9669000000	2385020000	38806600000	10636525000	29558300000	426175000000	
48000000000	32461911360	99000000000	28677000000	7002923400	46076000000	21570000000	10157260000	738034000000	
71000000000	25510204080	112000000000	10395000000	2871792000	19065300000	5486100000	42744700000	799898000000	
42000000000	29296875000	98000000000	4172000000	1008511467	12261700000	6695585000	53671700000	1041843000000	
65000000000	29666548000	85000000000	14649000000	3071407000	26516600000	7282870000	19463240000	1698440000000	
48000000000	28125000000	90000000000	2540000000	563880000	15532500000	10222310000	16110320000	1698440000000	
85000000000	27688778130	196000000000	51814000000	25050341870	70882400000	7901685000	55215300000	1078359000000	
48000000000	31250000000	199000000000	12162000000	5969920400	18131400000	4104105000	53630800000	1698440000000	
58000000000	29154518950	139000000000	16582000000	5685415067	22888400000	10262660000	13973990000	923886000000	
40000000000	30836530530	128000000000	41894000000	13227332270	31038500000	6160995000	17555030000	638261000000	
82000000000	31217481790	100000000000	18077000000	4458993333	31645300000	9923650000	19946870000	994316000000	
52000000000	30801248700	87000000000	30212000000	6483495200	29273900000	6268540000	24245910000	764667000000	
49000000000	32461911360	134000000000	24887000000	8225983067	42391400000	10793940000	5768000000	656393000000	
60000000000	31231409880	131000000000	30130000000	9736007333	37843000000	8404430000	11500050000	396021000000	
49000000000	29777777780	70000000000	8396000000	1449709333	51338700000	10731740000	20768010000	602486000000	
44000000000	27887617070	99000000000	9208000000	2248593600	12675700000	5478170000	23033060000	407206000000	
40000000000	27636054420	103000000000	2432000000	617890133	14322400000	6783870000	26013600000	293123000000	
71000000000	27915518820	104000000000	18200000000	4668906667	53499700000	1656020000	49241840000	256001000000	
69000000000	28444444440	108000000000	8808000000	2346451200	14748500000	5288025000	16485080000	353568000000	
74000000000	28650137740	88000000000	3012000000	653804800	31123300000	7652220000	18355740000	572401000000	
66000000000	26562500000	89000000000	6524000000	1432235467	14908400000	8429960000	14919220000	269487000000	
65000000000	30915576690	97000000000	10491000000	2510146600	44021700000	3710090000	20468500000	396648000000	
72000000000	29136316340	83000000000	10949000000	2241625267	26808100000	2784910000	14769660000	232018000000	
57000000000	34838147770	95000000000	12548000000	2940414667	33161200000	2364950000	9954200000	655834000000	
73000000000	37109375000	134000000000	5636000000	1862885867	41406400000	3335665000	6892350000	788902000000	
45000000000	29384756660	90000000000	4713000000	1046286000	23847900000	6644245000	15556250000	621273000000	
46000000000	33180000000	92000000000	5750000000	1304866667	18690000000	9160000000	8890000000	209190000000	
68000000000	35560000000	131000000000	8150000000	2633536667	17870000000	11900000000	4190000000	198400000000	
75000000000	30480000000	152000000000	7010000000	2628282667	50530000000	10060000000	11730000000	99450000000	
54000000000	36050000000	119000000000	11910000000	3495982000	89270000000	8010000000	5060000000	218280000000	
45000000000	26850000000	92000000000	3330000000	755688000	54680000000	12100000000	10960000000	268230000000	
62000000000	26840000000	100000000000	4530000000	1117400000	12450000000	21420000000	7320000000	330160000000	
65000000000	32050000000	97000000000	5730000000	1370998000	61480000000	22540000000	10330000000	314050000000	
72000000000	25590000000	82000000000	2820000000	570392000	24960000000	33750000000	3270000000	392460000000	
86000000000	27180000000	138000000000	19910000000	6777364000	90280000000	14110000000	4350000000	90090000000	
