Sch_Depart	Perf_Depart	Enp_Pass	Freight	Mail
29363.0	29625.0	2609138	3089.87	3424.48
5606.0	5806.0	230249	334.41	893.32
15007.0	15295.0	878372	2184.93	2712.69
7744.0	7807.0	349358	2017.81	350.3
6616.0	6668.0	435297	327.14	781.19
8837.0	8921.0	423808	526.69	1625.13
8741.0	8868.0	237699	420.69	1738.63
20112.0	20185.0	1001983	5937.63	5255.4
16802.0	17121.0	525092	3007.15	1941.86
7444.0	7527.0	529042	3656.57	9.01
7507.0	7689.0	306489	1682.98	1143.32
7753.0	7810.0	341142	5937.53	1623.8
14215.0	14380.0	631956	2179.36	866.09
5327.0	5388.0	239746	1046.56	197.31
10903.0	11001.0	551507	638.32	671.96
13531.0	13673.0	512759	6554.2	2009.81
6651.0	6756.0	423498	298.3	639.46
7514.0	7507.0	490336	377.78	89.18
12144.0	12256.0	658619	1705.15	9042.02
8074.0	8252.0	224658	857.1	601.0
6150.0	6167.0	233809	6573.16	6431.49
7851.0	8062.0	242000	1114.74	662.03
20879.0	20993.0	393442	887.12	963.19
13086.0	13366.0	614280	4010.83	1650.33
23519.0	23906.0	894532	9801.19	3841.67
11580.0	11739.0	503271	1314.55	1908.97
10537.0	10746.0	437341	5692.89	1579.88
10868.0	10817.0	651191	4522.27	1139.18
9880.0	10043.0	381668	734.72	457.42
9270.0	9456.0	353294	151.42	54.68
7001.0	7203.0	422400	542.59	1484.22
9001.0	9082.0	391018	543.63	1812.42
14800.0	15527.0	977274	5166.7	887.18
10228.0	10234.0	477768	6192.36	1644.97
7811.0	7913.0	291634	373.87	1331.34
15154.0	15310.0	950540	918.25	3616.92
21813.0	21944.0	937645	8725.02	5618.14
11575.0	11691.0	611413	7282.66	546.74
8926.0	9158.0	425563	4044.83	873.45
6344.0	6455.0	267963	7091.74	632.01
5838.0	5866.0	360126	133.58	34.15
8675.0	8762.0	580905	559.51	300.62
9734.0	9824.0	380798	5438.91	646.6
6286.0	6553.0	220093	394.09	310.27
19952.0	19951.0	994132	5701.22	14391.15
8765.0	8930.0	394222	864.82	1429.55
8712.0	8956.0	472393	2526.91	1552.77
16890.0	17113.0	1060719	2372.95	3402.81
20443.0	20652.0	864381	5403.95	3507.87
7143.0	7347.0	224595	257.83	587.41
3952.0	4036.0	219310	278.94	175.6
9999.0	10263.0	226472	806.88	0.01
15765.0	15990.0	989935	542.07	71.36
11089.0	11270.0	520881	1306.61	768.92
7656.0	7639.0	257229	6198.18	1618.82
6466.0	6514.0	226436	1163.97	1556.28
6630.0	7072.0	224050	1826.0	212.82
25315.0	25837.0	747329	7827.61	2283.69
9193.0	9306.0	381840	1492.52	699.4
13772.0	13901.0	561432	6905.22	2928.32
