MYCT	MMIN	MMAX	CACH	CHMIN	CHMAX	PRP	ERP 
58	8	4	0	1	1	1	2
58	10	5	0	1	1	6	4
53	10	5	0	1	1	8	4
51	14	9	0	1	1	24	12
51	19	15	0	1	1	24	29
57	11	3	0	1	2	4	2
57	8	3	0	1	2	4	1
57	11	9	3	1	2	10	10
57	11	9	5	1	2	14	12
57	14	9	0	3	6	29	12
44	14	9	5	3	6	31	15
44	14	9	5	3	6	26	15
39	14	15	5	1	6	38	26
40	14	18	8	1	6	59	49
39	14	18	8	1	6	51	49
44	11	9	2	3	6	16	10
2	14	17	5	1	4	37	39
2	14	17	8	3	5	51	42
0	19	18	5	6	10	66	58
0	19	18	11	6	10	77	62
59	10	3	0	0	0	5	2
59	10	5	0	0	0	10	4
55	10	5	0	0	0	12	4
10	14	9	0	3	6	19	14
10	14	15	5	3	6	35	28
10	14	15	5	1	6	43	28
10	14	18	9	1	6	54	53
10	14	18	9	1	6	61	53
10	22	18	12	1	9	79	68
24	11	15	0	2	6	8	21
24	11	15	9	2	6	18	30
24	11	15	9	3	6	24	30
10	14	18	7	3	14	35	51
10	14	18	9	6	14	42	55
10	14	18	9	6	14	50	55
35	8	9	0	8	29	22	17
28	14	15	8	1	3	38	30
28	14	9	2	1	5	31	13
22	14	15	11	1	6	47	35
22	14	15	11	1	6	45	35
22	14	15	3	1	6	38	25
19	19	18	8	1	6	51	54
15	19	18	11	1	6	63	56
15	14	18	13	5	8	57	60
15	19	18	13	5	8	65	63
10	19	18	13	5	9	70	64
18	19	18	13	8	14	83	65
18	14	15	8	6	8	67	32
8	22	18	11	8	14	93	67
8	22	21	13	8	17	100	86
6	22	21	13	8	17	106	88
7	23	21	17	10	21	111	98
9	19	20	11	8	17	93	74
7	22	21	13	8	17	103	87
5	23	21	21	10	17	111	99
27	11	3	0	1	4	2	3
20	11	5	0	1	6	5	5
12	11	9	0	1	6	9	10
12	14	12	0	1	8	13	19
12	14	15	0	1	8	16	25
12	19	15	0	1	8	26	31
12	19	17	0	1	8	33	40
12	19	18	0	1	8	36	50
7	19	15	11	10	21	39	51
7	19	15	11	10	21	73	51
7	22	18	13	4	8	66	72
7	22	20	20	4	8	81	90
7	19	18	17	10	21	92	81
41	11	5	0	1	2	17	5
41	11	9	0	1	4	22	9
41	14	15	13	1	5	32	43
46	8	9	0	1	7	17	8
46	8	9	0	4	7	38	8
46	11	18	1	1	8	38	41
36	8	9	2	1	5	22	9
36	8	5	2	3	8	24	4
36	11	9	5	1	12	30	13
36	11	15	8	1	12	45	27
36	14	15	11	1	11	69	35
45	8	3	5	1	3	0	3
45	8	5	5	1	5	4	6
25	14	9	5	3	8	14	15
25	14	12	8	6	14	25	25
25	14	15	8	4	12	44	31
11	19	18	11	4	10	75	57
17	19	17	5	6	8	58	43
14	19	17	11	6	10	71	52
14	22	18	13	9	17	88	73
3	22	20	11	8	14	86	80
3	22	21	13	9	14	96	89
3	22	21	17	11	21	108	97
29	14	15	11	5	19	54	37
10	14	21	9	6	18	72	79
10	14	21	12	12	24	91	84
10	14	21	16	14	27	101	92
10	19	21	16	14	27	107	94
5	22	22	15	9	30	113	101
5	22	22	17	9	30	115	102
39	5	9	0	1	3	5	8
39	8	9	0	1	3	7	8
39	5	9	0	1	3	10	8
39	8	9	0	1	3	13	8
30	11	15	0	1	8	33	21
23	11	15	11	2	8	36	33
31	14	15	0	2	12	40	25
52	8	15	11	0	0	52	31
52	11	9	0	0	0	35	9
