0	1	2	3	4	5	6	
-2300	564	5100	3950	3530	275	2830	
-2300	564	5100	3950	3530	300	3990	
-2300	564	5100	3950	3530	325	5190	
-2300	564	5100	3950	3530	350	8030	
-2300	564	5100	3950	3530	375	12860	
-2300	564	5100	3950	3530	400	21510	
-2300	564	5100	3950	3530	425	33970	
-2300	564	5100	3950	3530	450	50360	
-2400	574	4360	3960	2760	125	200	
-2400	574	4360	3960	2760	150	350	
-2400	574	4360	3960	2760	175	650	
-2400	574	4360	3960	2760	200	930	
-2400	574	4360	3960	2760	225	1370	
-2400	574	4360	3960	2760	250	1970	
-2400	574	4360	3960	2760	275	2830	
-2400	574	4360	3960	2760	300	3990	
-2400	574	4360	3960	2760	325	5190	
-2400	574	4360	3960	2760	350	8030	
-2400	574	4360	3960	2760	375	12860	
-2400	574	4360	3960	2760	400	21510	
-2400	574	4360	3960	2760	425	33970	
-2400	574	4360	3960	2760	450	50360	
-2400	568	4340	2980	3150	125	120	
-2400	568	4340	2980	3150	150	260	
-2400	568	4340	2980	3150	175	430	
-2400	568	4340	2980	3150	200	690	
-2400	568	4340	2980	3150	225	1090	
-2400	568	4340	2980	3150	250	1670	
-2400	568	4340	2980	3150	275	2460	
-2400	568	4340	2980	3150	300	3430	
-2400	568	4340	2980	3150	325	4620	
-2400	568	4340	2980	3150	350	6860	
-2400	568	4340	2980	3150	375	11560	
-2400	568	4340	2980	3150	400	20630	
-2400	568	4340	2980	3150	425	34500	
-2400	568	4340	2980	3150	450	54230	
-2300	562	5140	4950	3170	125	280	
-2300	562	5140	4950	3170	150	440	
-2300	562	5140	4950	3170	175	700	
-2300	562	5140	4950	3170	200	1070	
-2300	562	5140	4950	3170	225	1570	
-2300	562	5140	4950	3170	250	2230	
-2300	562	5140	4950	3170	275	3090	
-2300	562	5140	4950	3170	300	4090	
-2300	562	5140	4950	3170	325	5820	
-2300	562	5140	4950	3170	350	8280	
-2300	562	5140	4950	3170	375	12800	
-2300	562	5140	4950	3170	400	20410	
-2300	562	5140	4950	3170	425	32340	
-2300	562	5140	4950	3170	450	47290	
-2400	585	4780	3840	3320	125	200	
-2400	585	4780	3840	3320	150	380	
-2400	585	4780	3840	3320	175	640	
-2400	585	4780	3840	3320	200	970	
-2400	585	4780	3840	3320	225	1360	
-2400	585	4780	3840	3320	250	1980	
-2400	585	4780	3840	3320	275	2910	
-2400	585	4780	3840	3320	300	4350	
-2400	585	4780	3840	3320	325	5790	
-2400	585	4780	3840	3320	350	8040	
-2400	585	4780	3840	3320	375	12150	
-2400	585	4780	3840	3320	400	19180	
-2400	585	4780	3840	3320	425	30090	
-2400	585	4780	3840	3320	450	44380	
-2200	546	4780	4130	3070	125	150	
-2200	546	4780	4130	3070	150	320	
-2200	546	4780	4130	3070	175	550	
-2200	546	4780	4130	3070	200	860	
-2200	546	4780	4130	3070	225	1240	
-2200	546	4780	4130	3070	250	1760	
-2200	546	4780	4130	3070	275	2490	
-2200	546	4780	4130	3070	300	3450	
-2200	546	4780	4130	3070	325	4830	
-2200	546	4780	4130	3070	350	7370	
-2200	546	4780	4130	3070	375	12760	
-2200	546	4780	4130	3070	400	21990	
-2200	546	4780	4130	3070	425	35640	
-2200	546	4780	4130	3070	450	53070	
0	565	4770	3990	3150	125	110	
0	565	4770	3990	3150	150	240	
0	565	4770	3990	3150	175	490	
0	565	4770	3990	3150	200	790	
0	565	4770	3990	3150	225	1280	
0	565	4770	3990	3150	250	1960	
0	565	4770	3990	3150	275	2880	
0	565	4770	3990	3150	300	4140	
0	565	4770	3990	3150	325	5960	
0	565	4770	3990	3150	350	9070	
0	565	4770	3990	3150	375	14930	
0	565	4770	3990	3150	400	24130	
0	565	4770	3990	3150	425	38120	
0	565	4770	3990	3150	450	55440	
-5000	565	4770	3990	3150	125	70	
-5000	565	4770	3990	3150	150	180	
-5000	565	4770	3990	3150	175	400	
-5000	565	4770	3990	3150	200	700	
-5000	565	4770	3990	3150	225	1140	
-5000	565	4770	3990	3150	250	1830	
-5000	565	4770	3990	3150	275	2770	
-5000	565	4770	3990	3150	300	4120	
-5000	565	4770	3990	3150	325	5410	
-5000	565	4770	3990	3150	350	7870	
-5000	565	4770	3990	3150	375	12710	
-5000	565	4770	3990	3150	400	21020	
-5000	565	4770	3990	3150	425	34580	
-5000	565	4770	3990	3150	450	51770	
0	565	5100	3940	3510	125	80	
0	565	5100	3940	3510	150	260	
0	565	5100	3940	3510	175	500	
0	565	5100	3940	3510	200	830	
0	565	5100	3940	3510	225	1280	
0	565	5100	3940	3510	250	1900	
0	565	5100	3940	3510	275	2680	
0	565	5100	3940	3510	300	3760	
0	565	5100	3940	3510	325	5570	
0	565	5100	3940	3510	350	8760	
0	565	5100	3940	3510	375	14240	
0	565	5100	3940	3510	400	23050	
0	565	5100	3940	3510	425	35460	
0	565	5100	3940	3510	450	51990	
-5000	565	5100	3940	3510	125	80	
-5000	565	5100	3940	3510	150	240	
-5000	565	5100	3940	3510	175	450	
-5000	565	5100	3940	3510	200	770	
-5000	565	5100	3940	3510	225	1190	
-5000	565	5100	3940	3510	250	1760	
-5000	565	5100	3940	3510	275	2590	
-5000	565	5100	3940	3510	300	3850	
-5000	565	5100	3940	3510	325	5270	
-5000	565	5100	3940	3510	350	7740	
-5000	565	5100	3940	3510	375	12400	
-5000	565	5100	3940	3510	400	20910	
-5000	565	5100	3940	3510	425	33230	
-5000	565	5100	3940	3510	450	49140	
-2300	530	5110	3690	3510	125	80	
-2300	530	5110	3690	3510	150	250	
-2300	530	5110	3690	3510	175	460	
-2300	530	5110	3690	3510	200	750	
-2300	530	5110	3690	3510	225	1110	
-2300	530	5110	3690	3510	250	1570	
-2300	530	5110	3690	3510	275	2170	
-2300	530	5110	3690	3510	300	2980	
-2300	530	5110	3690	3510	325	4420	
-2300	530	5110	3690	3510	350	7840	
-2300	530	5110	3690	3510	375	14110	
-2300	530	5110	3690	3510	400	24140	
-2300	530	5110	3690	3510	425	37950	
-2300	530	5110	3690	3510	450	55170	
-2300	530	4760	3680	3160	125	100	
-2300	530	4760	3680	3160	150	230	
-2300	530	4760	3680	3160	175	470	
-2300	530	4760	3680	3160	200	760	
-2300	530	4760	3680	3160	225	1150	
-2300	530	4760	3680	3160	250	1650	
-2300	530	4760	3680	3160	275	2280	
-2300	530	4760	3680	3160	300	3090	
-2300	530	4760	3680	3160	325	4410	
-2300	530	4760	3680	3160	350	7510	
-2300	530	4760	3680	3160	375	13770	
-2300	530	4760	3680	3160	400	23960	
-2300	530	4760	3680	3160	425	37380	
-2300	530	4760	3680	3160	450	56460	
-2300	530	4340	2810	3150	125	50	
-2300	530	4340	2810	3150	150	170	
-2300	530	4340	2810	3150	175	350	
-2300	530	4340	2810	3150	200	630	
-2300	530	4340	2810	3150	225	1010	
-2300	530	4340	2810	3150	250	1430	
-2300	530	4340	2810	3150	275	2050	
-2300	530	4340	2810	3150	300	2730	
-2300	530	4340	2810	3150	325	3870	
-2300	530	4340	2810	3150	350	7190	
-2300	530	4340	2810	3150	375	13960	
-2300	530	4340	2810	3150	400	25180	
-2300	530	4340	2810	3150	425	41340	
-2300	530	4340	2810	3150	450	62420	
0	600	4780	4240	3150	125	30	
0	600	4780	4240	3150	150	180	
0	600	4780	4240	3150	175	400	
0	600	4780	4240	3150	200	730	
0	600	4780	4240	3150	225	1300	
0	600	4780	4240	3150	250	2160	
0	600	4780	4240	3150	275	3350	
0	600	4780	4240	3150	300	5060	
0	600	4780	4240	3150	325	7140	
0	600	4780	4240	3150	350	10360	
0	600	4780	4240	3150	375	15250	
0	600	4780	4240	3150	400	23150	
0	600	4780	4240	3150	425	34620	
0	600	4780	4240	3150	450	51500	
-5000	600	4780	4240	3150	125	60	
-5000	600	4780	4240	3150	150	150	
-5000	600	4780	4240	3150	175	340	
-5000	600	4780	4240	3150	200	630	
-5000	600	4780	4240	3150	225	1130	
-5000	600	4780	4240	3150	250	1850	
-5000	600	4780	4240	3150	275	2840	
-5000	600	4780	4240	3150	300	4340	
-5000	600	4780	4240	3150	325	6200	
-5000	600	4780	4240	3150	350	8620	
-5000	600	4780	4240	3150	375	12490	
-5000	600	4780	4240	3150	400	20410	
-5000	600	4780	4240	3150	425	32460	
-5000	600	4780	4240	3150	450	50940	
0	530	4780	3750	3150	125	160	
0	530	4780	3750	3150	150	320	
0	530	4780	3750	3150	175	590	
0	530	4780	3750	3150	200	920	
0	530	4780	3750	3150	225	1370	
0	530	4780	3750	3150	250	1940	
0	530	4780	3750	3150	275	2620	
0	530	4780	3750	3150	300	3700	
0	530	4780	3750	3150	325	5450	
0	530	4780	3750	3150	350	9450	
0	530	4780	3750	3150	375	16310	
0	530	4780	3750	3150	400	27340	
0	530	4780	3750	3150	425	41770	
0	530	4780	3750	3150	450	60850	
-5000	530	4780	3750	3150	125	90	
-5000	530	4780	3750	3150	150	240	
-5000	530	4780	3750	3150	175	470	
-5000	530	4780	3750	3150	200	780	
-5000	530	4780	3750	3150	225	1210	
-5000	530	4780	3750	3150	250	1850	
-5000	530	4780	3750	3150	275	2620	
-5000	530	4780	3750	3150	300	3690	
-5000	530	4780	3750	3150	325	5070	
-5000	530	4780	3750	3150	350	7950	
-5000	530	4780	3750	3150	375	13730	
-5000	530	4780	3750	3150	400	23550	
-5000	530	4780	3750	3150	425	37140	
-5000	530	4780	3750	3150	450	55870	
-2300	600	5100	4170	3510	125	10	
-2300	600	5100	4170	3510	150	160	
-2300	600	5100	4170	3510	175	390	
-2300	600	5100	4170	3510	200	730	
-2300	600	5100	4170	3510	225	1240	
-2300	600	5100	4170	3510	250	1960	
-2300	600	5100	4170	3510	275	3040	
-2300	600	5100	4170	3510	300	4460	
-2300	600	5100	4170	3510	325	6310	
-2300	600	5100	4170	3510	350	8680	
-2300	600	5100	4170	3510	375	12390	
-2300	600	5100	4170	3510	400	20140	
-2300	600	5100	4170	3510	425	31770	
-2300	600	5100	4170	3510	450	47130	
-2300	600	4340	4230	2730	125	40	
-2300	600	4340	4230	2730	150	170	
-2300	600	4340	4230	2730	175	360	
-2300	600	4340	4230	2730	200	640	
-2300	600	4340	4230	2730	225	1020	
-2300	600	4340	4230	2730	250	1620	
-2300	600	4340	4230	2730	275	2630	
-2300	600	4340	4230	2730	300	4150	
-2300	600	4340	4230	2730	325	6000	
-2300	600	4340	4230	2730	350	8470	
-2300	600	4340	4230	2730	375	12270	
-2300	600	4340	4230	2730	400	19590	
-2300	600	4340	4230	2730	425	30480	
-2300	600	4340	4230	2730	450	46660	
