Center of buoyancy	Prismatic coeff	Length-displacement ratio	Beam-draught ratio	Length-beam ratio	Froude number	Residuary resistance
2	2	7	15	5	4	77
2	2	7	15	5	5	95
2	2	7	15	5	6	114
2	2	7	15	5	7	125
2	2	7	15	5	8	148
2	2	7	15	5	9	167
2	2	7	15	5	10	185
2	2	7	15	5	11	200
2	2	7	15	5	12	219
2	2	7	15	5	13	240
1	8	4	6	6	0	15
1	8	4	6	6	1	28
1	8	4	6	6	2	42
1	8	4	6	6	3	57
1	8	4	6	6	4	74
1	8	4	6	6	5	90
1	8	4	6	6	6	110
1	8	4	6	6	7	131
1	8	4	6	6	8	147
1	8	4	6	6	9	165
1	8	4	6	6	10	178
1	8	4	6	6	11	196
1	8	4	6	6	12	216
1	8	4	6	6	13	237
3	1	4	11	2	0	11
3	1	4	11	2	1	23
3	1	4	11	2	2	38
3	1	4	11	2	3	54
3	1	4	11	2	4	70
3	1	4	11	2	5	82
3	1	4	11	2	6	99
3	1	4	11	2	7	118
3	1	4	11	2	8	137
3	1	4	11	2	9	158
3	1	4	11	2	10	184
3	1	4	11	2	11	207
3	1	4	11	2	12	230
3	1	4	11	2	13	250
4	4	3	10	3	0	9
4	4	3	10	3	1	17
4	4	3	10	3	2	36
4	4	3	10	3	3	52
4	4	3	10	3	4	71
4	4	3	10	3	5	88
4	4	3	10	3	6	109
4	4	3	10	3	7	127
4	4	3	10	3	8	149
4	4	3	10	3	9	172
4	4	3	10	3	10	193
4	4	3	10	3	11	212
4	4	3	10	3	12	234
4	4	3	10	3	13	253
0	4	3	10	3	0	5
0	4	3	10	3	1	14
0	4	3	10	3	2	30
0	4	3	10	3	3	46
0	4	3	10	3	4	65
0	4	3	10	3	5	84
0	4	3	10	3	6	106
0	4	3	10	3	7	126
0	4	3	10	3	8	143
0	4	3	10	3	9	162
0	4	3	10	3	10	183
0	4	3	10	3	11	203
0	4	3	10	3	12	226
0	4	3	10	3	13	247
4	4	5	7	7	0	6
4	4	5	7	7	1	19
4	4	5	7	7	2	37
4	4	5	7	7	3	53
4	4	5	7	7	4	71
4	4	5	7	7	5	86
4	4	5	7	7	6	104
4	4	5	7	7	7	121
4	4	5	7	7	8	146
4	4	5	7	7	9	171
4	4	5	7	7	10	192
4	4	5	7	7	11	208
4	4	5	7	7	12	229
4	4	5	7	7	13	249
0	4	5	7	7	0	6
0	4	5	7	7	1	17
0	4	5	7	7	2	33
0	4	5	7	7	3	50
0	4	5	7	7	4	68
0	4	5	7	7	5	82
0	4	5	7	7	6	100
0	4	5	7	7	7	122
0	4	5	7	7	8	142
0	4	5	7	7	9	160
0	4	5	7	7	10	181
0	4	5	7	7	11	202
0	4	5	7	7	12	223
0	4	5	7	7	13	241
2	0	6	4	7	0	6
2	0	6	4	7	1	18
2	0	6	4	7	2	34
2	0	6	4	7	3	48
2	0	6	4	7	4	63
2	0	6	4	7	5	77
2	0	6	4	7	6	94
2	0	6	4	7	7	112
2	0	6	4	7	8	133
2	0	6	4	7	9	161
2	0	6	4	7	10	191
2	0	6	4	7	11	213
2	0	6	4	7	12	233
2	0	6	4	7	13	252
2	0	2	3	4	0	8
2	0	2	3	4	1	16
2	0	2	3	4	2	35
2	0	2	3	4	3	49
2	0	2	3	4	4	66
2	0	2	3	4	5	80
2	0	2	3	4	6	96
2	0	2	3	4	7	114
2	0	2	3	4	8	132
2	0	2	3	4	9	159
2	0	2	3	4	10	189
2	0	2	3	4	11	211
2	0	2	3	4	12	232
2	0	2	3	4	13	255
2	0	0	0	3	0	3
2	0	0	0	3	1	13
2	0	0	0	3	2	25
2	0	0	0	3	3	41
2	0	0	0	3	4	58
2	0	0	0	3	5	76
2	0	0	0	3	6	92
2	0	0	0	3	7	105
2	0	0	0	3	8	123
2	0	0	0	3	9	157
2	0	0	0	3	10	190
2	0	0	0	3	11	214
2	0	0	0	3	12	235
2	0	0	0	3	13	257
4	9	4	14	3	0	1
4	9	4	14	3	1	14
4	9	4	14	3	2	30
4	9	4	14	3	3	47
4	9	4	14	3	4	72
4	9	4	14	3	5	93
4	9	4	14	3	6	116
4	9	4	14	3	7	139
4	9	4	14	3	8	155
4	9	4	14	3	9	174
4	9	4	14	3	10	194
4	9	4	14	3	11	209
4	9	4	14	3	12	227
4	9	4	14	3	13	246
0	9	4	14	3	0	4
0	9	4	14	3	1	11
0	9	4	14	3	2	24
0	9	4	14	3	3	41
0	9	4	14	3	4	64
0	9	4	14	3	5	85
0	9	4	14	3	6	108
0	9	4	14	3	7	130
0	9	4	14	3	8	151
0	9	4	14	3	9	169
0	9	4	14	3	10	182
0	9	4	14	3	11	200
0	9	4	14	3	12	220
0	9	4	14	3	13	245
4	0	4	5	3	0	12
4	0	4	5	3	1	23
4	0	4	5	3	2	40
4	0	4	5	3	3	55
4	0	4	5	3	4	75
4	0	4	5	3	5	87
4	0	4	5	3	6	102
4	0	4	5	3	7	120
4	0	4	5	3	8	144
4	0	4	5	3	9	173
4	0	4	5	3	10	195
4	0	4	5	3	11	215
4	0	4	5	3	12	236
4	0	4	5	3	13	256
0	0	4	5	3	0	7
0	0	4	5	3	1	17
0	0	4	5	3	2	35
0	0	4	5	3	3	51
0	0	4	5	3	4	69
0	0	4	5	3	5	85
0	0	4	5	3	6	102
0	0	4	5	3	7	119
0	0	4	5	3	8	140
0	0	4	5	3	9	163
0	0	4	5	3	10	188
0	0	4	5	3	11	210
0	0	4	5	3	12	231
0	0	4	5	3	13	254
2	9	5	12	7	0	0
2	9	5	12	7	1	12
2	9	5	12	7	2	29
2	9	5	12	7	3	47
2	9	5	12	7	4	70
2	9	5	12	7	5	88
2	9	5	12	7	6	113
2	9	5	12	7	7	134
2	9	5	12	7	8	152
2	9	5	12	7	9	170
2	9	5	12	7	10	180
2	9	5	12	7	11	199
2	9	5	12	7	12	218
2	9	5	12	7	13	239
2	9	0	13	0	0	2
2	9	0	13	0	1	13
2	9	0	13	0	2	26
2	9	0	13	0	3	42
2	9	0	13	0	4	59
2	9	0	13	0	5	79
2	9	0	13	0	6	103
2	9	0	13	0	7	128
2	9	0	13	0	8	150
2	9	0	13	0	9	168
2	9	0	13	0	10	179
2	9	0	13	0	11	197
2	9	0	13	0	12	217
2	9	0	13	0	13	238
